Drate,Denom
3.9,331
4.2,402
19.5,409
5.3,622
6.1,537
20.1,555
2.7,814
0,83
5.1,6546
6.4,216
0,42
9.7,4062
17.2,1861
1.8,318
9.5,6342
7.3,4198
22.8,3356
3.5,363
20.1,189
16.2,302
12.2,293
7.4,914
15.8,4820
3.9,5954
24.4,86
20.5,4981
2.4,664
18.4,1535
0.4,221
23.6,1830
21,638
18.6,4629
6.2,516
6.5,1064
16,918
8.5,397
2.9,8442
3.3,1314
6.1,685
14.4,588
11.5,432
19.1,694
16.5,350
8.3,2471
15.4,1195
20.7,5370
4.7,4593
12.5,398
14.5,758
4,100
10,30
8.1,2804
17.9,1929
6.2,1101
19.5,674
6,1485
12.8,226
4.2,1351
1.5,5862
4.5,1933
5.6,2454
18.5,2781
8.2,7545
6.6,6023
0,41
10.3,2373
3.5,1039
11.8,906
4.6,1489
4,199
15.6,1141
0.9,209
1.3,449
3.1,1456
2.9,1341
1.9,2276
1.8,648
5.2,1292
14.1,261
1.1,540
3.8,1389
17.5,512
14.7,419
0.7,127
1,381
4.8,3852
2.7,146
19.3,3529
4.2,257
4.2,2007
4,375
12.4,2399
1.8,702
15.9,2102
4.7,971
5.3,3846
3.1,444
3.8,1600
0.7,557
9.3,491
11.9,1184
6.1,81
2.7,2705
3.8,436
1.3,296
12.2,848
3.4,2300
19.5,1485
8.4,1772
12.5,175
17.5,531
8.1,1120
24.5,579
22.3,1604
23.2,3835
18.3,1108
20.5,1129
14.4,3039
16,641
12.2,480
6.1,196
6.3,1589
21.9,1971
8.9,969
7.4,4192
18.9,943
24.1,575
15.6,1280
16,824
21.4,419
19.2,291
8.1,3989
9.7,4313
8.4,1365
9.4,580
10.6,75
8.3,1153
8.4,3319
13.9,6763
1.6,60
3.8,131
15.8,835
10.3,310
13.5,1427
4.3,93
6.1,831
5.5,635
21.5,616
4.7,42
13.7,967
13.8,1886
9.6,260
0.8,240
0.8,750
21.3,985
2.1,3571
3.4,1371
17.9,1898
5.1,97
20.8,662
9.7,1617
14.2,548
14.4,1560
16.1,1057
7.5,40
3,1017
7.8,1673
10.3,2552
4.1,623
10.3,2582
9.1,983
5.9,4637
0,257
2.6,2932
4.5,109
6,300
13.8,439
4.1,6147
3.4,1260
7.2,3444
7,3528
1,1672
4.6,5005
8.4,260
5.6,301
2.8,762
1.5,315
5.5,286
11.2,160
17,100
11.5,1493
12.4,653
5.4,3285
10.4,441
3.2,335
10.2,3777
8.1,403
8.5,793
5.5,326
2.4,605
1.9,1809
7.1,645
6.6,316
5,1599
6.1,391
6.1,3324
4,635
16.6,515
9,576
17.4,332
5.6,247
3.3,4252
7.7,953
13.9,186
5.1,3032
7.4,4945
7.4,389
0.5,588
4.8,758
12.2,1048
12.4,16362
9,1623
12,1658
9.3,749
4.5,707
1.5,508
2.3,3821
4.6,1366
4.3,1585
16.2,833
14.5,765
8.3,539
7.3,569
8.1,366
22.2,665
3.9,458
6.1,2202
7,710
4.7,3015
8.4,636
9.3,2236
12.1,1069
2.3,1637
4.7,4207
4.8,83
3.7,1716
7.5,3928
12.5,1384
8.1,3125
1.9,104
3.5,112
4.6,1341
3.6,13944
3,2268
7.9,829
2.7,660
1.7,1392
12.6,1273
8.6,500
12.7,1235
13,813
6.2,254
18.2,164
12,91
17.1,4938
18.4,689
12.4,6169
19.1,758
3.4,616
3.7,2111
5.5,755
1,191
6.7,206
2,547
9.2,65
0.8,336
18.8,9604
4.4,1227
8.2,327
5.9,1947
6.3,1617
4.1,2336
4.3,1598
14.8,1701
14.2,743
5.5,1518
14.7,981
7.7,1167
9.2,754
8.3,1441
1.8,979
4.1,73
2,246
6,576
12.6,1200
3.5,1429
1.6,4127
1.9,311
8.8,283
7.5,66
1,2728
3.2,833
7,627
4.6,449
2.7,3090
3.9,76
1.1,261
5,433
2.4,450
2.7,2482
1.7,342
7,356
4.6,997
2.5,1533
0,44
4.3,46
2.8,138
6.1,764
3.3,912
1.9,101
7.3,4524
2.8,803
4.7,126
5.3,603
8.7,400
2.8,1416
7.7,480
7.8,3552
3.2,1180
11.1,868
3.9,765
3.6,880
5,1772
3,431
0.2,359
2.1,8635
5,937
9.6,1072
4.6,3011
8.2,363
3.6,911
1,1110
4.3,684
3.2,3238
4.4,893
4.6,864
10.3,688
1.9,353
1.4,338
23,13
3.1,857
3.7,609
10.9,633
1.7,1224
n/a,n/a
4.4,3749
4.3,1323
2,478
7.3,393
3.1,32
4.6,1899
4,3947
1.8,2723
3.3,5552
2.7,4290
1.5,461
0.7,414
4.2,2582
8.3,3255
2.7,1981
4.7,1546
1.4,1159
3.5,1612
2.1,1499
4.2,2351
4.3,1577
5.7,1280
2.6,455
3,359
8,1304
11.7,1285
10.5,967
9.6,1132
4.9,1200
12.9,1155
17.3,1065
18.8,1404
16.3,1812
15.4,1208
13.4,1503
3.7,1535
19.8,780
9.6,2720
16.7,957
13.9,959
18,1865
17.9,5010
10.4,2335
