Drate,Denom
8.8,45
7.6,52
9,760
6,600
21.8,32
10.4,105
6.9,143
21.8,137
9.5,63
5,140
15.2,92
25.9,274
21.6,97
13.9,194
12.7,55
1.3,73
7.3,82
n/a,n/a
8.3,96
15.2,171
10,30
2.8,35
11.9,42
7.1,42
14.5,124
9.6,93
9.2,108
39.4,38
8.9,67
0,62
5.6,89
12.3,81
8.1,159
3.8,129
23.4,81
1.8,55
9.8,81
2.9,34
n/a,n/a
3,33
9.5,221
23.7,97
12.9,31
19.4,36
24.2,33
10.3,97
7.7,77
6.1,81
4.6,150
6.2,64
12,125
2.8,140
0,34
31.4,70
13.4,67
2.9,34
48.3,31
13.5,184
14,100
1.5,66
24.7,351
4.5,44
34.9,63
13.1,266
5.2,38
17.6,85
23,169
1.7,57
13.7,80
6.6,30
0,14
16.5,103
14.5,62
12,75
18,61
7.3,68
2.5,39
6.2,255
5.3,56
20,15
16.2,37
5.4,37
14.5,144
5.3,56
10,30
4.7,63
5.3,113
10.9,64
30.7,140
11.9,92
22.4,58
0,14
33.3,33
10,80
6.3,47
15,40
6.3,47
11.3,53
6.6,45
0,15
12.2,155
2.4,81
12.9,170
20,55
18,61
17.8,129
29.2,41
0,117
17,41
4.7,42
0,12
10.9,82
14.3,195
32.6,104
38.9,59
5.1,39
7.3,109
15.9,69
9.5,115
3.2,31
2.5,39
15.8,120
17.9,39
3.9,126
18.9,206
23.2,142
19.3,119
13.5,37
1.8,54
15.1,99
5,100
34.3,64
16.9,65
20.8,48
19.2,203
11.4,61
13.6,73
21.3,103
16,300
22.2,36
40.4,47
13.9,43
7.8,38
3.7,108
5,2733
10.6,150
9.5,115
31.8,22
5.7,69
23.7,59
3.3,89
5.3,56
21.2,33
7.8,38
18.3,2895
0,38
15,40
16.9,59
45.2,73
6.2,32
14.2,70
35.4,31
57.6,59
14.8,54
12.1,33
27.9,43
11.5,26
17.6,34
17.2,87
15,106
6.2,32
5.2,38
7.1,42
0,36
0,108
21.8,55
4,74
3.3,148
15.4,97
18.7,48
12.5,56
14.6,41
8.8,45
11.1,45
27,48
11.7,34
23,39
32.7,61
4,124
12.1,107
9.7,215
16.6,36
16.1,31
1.9,52
8.4,71
3.5,1795
9,33
7.3,17303
9.2,3357
9.2,16416
7.3,95
15.5,225
7.9,23711
7.7,13866
10.9,1353
3.4,3593
