OPEID - Price,OPEID - 300,Name,NetPrice,DefRate,Program Length,College Type,Defaults,Loans
381000,3810,Concord University,7928,14.4,8,1,122,846
332600,3326,Shippensburg University of Pennsylvania,18342,5.5,8,1,122,2185
102400,1024,University of West Alabama,13545,7.8,8,1,149,1889
337904,3379,University of Pittsburgh-Greensburg,16720,3.5,8,1,261,7252
230700,2307,Oakland University,12198,4.7,8,1,216,4593
315200,3152,University of Central Oklahoma,12008,9.4,8,1,336,3571
259100,2591,Plymouth State University,20844,4.3,8,1,69,1585
364400,3644,Texas Tech University,15235,6.4,8,1,425,6594
377900,3779,Grays Harbor College,7267,26,6,1,68,261
109800,1098,Henderson State University,11219,8.3,8,1,95,1134
156900,1569,Georgia Institute of Technology-Main Campus,13340,1.2,8,1,32,2472
225900,2259,Eastern Michigan University,14268,9.5,8,1,608,6342
136500,1365,Colorado State University-Pueblo,12887,8.8,8,1,154,1750
156100,1561,Columbus State University,11596,8.7,8,1,213,2431
337100,3371,Temple University,21237,4.5,8,2,411,8963
262902,2629,Rutgers University-Newark,10771,3.6,8,1,503,13944
340700,3407,Rhode Island College,9145,8.2,8,1,174,2108
231400,2314,Saginaw Valley State University,14475,8.1,8,1,228,2804
180900,1809,Indiana University-Bloomington,12621,3.9,8,1,260,6525
100400,1004,University of Montevallo,17607,9.1,8,1,72,784
284500,2845,SUNY College at Geneseo,17283,1.4,8,1,17,1159
150100,1501,Florida Gateway College,5099,14.8,6,1,37,250
318100,3181,Southwestern Oklahoma State University,11447,10.6,8,1,123,1155
247900,2479,Lincoln University,10387,21.3,8,1,210,985
2107800,21078,University of Hawaii-West Oahu,8522,4.7,6,1,20,417
1028600,10286,SUNY Empire State College,13733,7.6,8,1,259,3380
256500,2565,University of Nebraska-Lincoln,16462,3.3,8,1,142,4252
1036300,10363,Western Nevada College,10806,20.2,6,1,110,542
1097500,10975,University of Puerto Rico-Bayamon,4244,8.4,6,1,13,153
201500,2015,University of New Orleans,9428,7.5,8,1,141,1868
131700,1317,University of California-San Diego,14770,2.1,8,1,105,4928
382300,3823,West Liberty University,12285,8.8,8,1,66,742
175800,1758,Southern Illinois University-Carbondale,17149,9.4,8,1,445,4715
285900,2859,Morrisville State College,16388,12.9,6,1,149,1155
392400,3924,University of Wisconsin-Stevens Point,12556,3.7,8,1,93,2480
210500,2105,University of Maryland-Baltimore County,15349,4,8,1,96,2375
208300,2083,Morgan State University,15909,15.9,8,1,348,2183
200500,2005,Nicholls State University,10169,11.1,8,1,183,1645
346300,3463,Dakota State University,15375,5.9,8,1,41,688
1323100,13231,University of Houston-Victoria,10995,7.3,8,1,88,1201
106300,1063,University of Alaska Fairbanks,9097,12.2,8,1,164,1341
210200,2102,University of Baltimore,15889,8.2,8,1,158,1918
148000,1480,Florida Agricultural and Mechanical University,13096,9.5,8,1,306,3194
380000,3800,Washington State University,17815,3.7,8,1,222,5962
310002,3100,Ohio University-Zanesville Campus,8236,9.7,8,1,946,9731
